//ID	Name	Icon Name	Model (Ground)	Model (Lance)	Model (Carsise)	Model (Phyllis)	Model (Ami)	Ship Symbol	Ship Size	Item Type	Obtain Prefix Rate	Set ID	Forging Level	Stable Level	Repairable	Tradable	Pick-upable	Droppable	Deletable	Max Stack Size	Instance	Price	Character Types	Character Level	Character Classes	Character Nick	Character Reputation	Equipable Slots	Item Switch Locations	Item Obtain Into Location Determine	+STR %	+AGI %	+ACC %	+CON %	+SPR %	+LUK %	+Attack Speed %	+Attack Range %	+Min Attack %	+Max Attack %	+Defense %	+Max HP %	+Max SP %	+Dodge Rate %	+Hit Rate %	+Critical Rate %	+Treasure Drop Rate %	+HP Recovery %	+SP Recovery %	+Movement Speed %	+Resource Gathering Rate %	+STR (Min,Max)	+AGI (Min,Max)	+ACC (Min,Max)	+CON (Min,Max)	+SPR (Min,Max)	+LUK (Min,Max)	+Attack Speed	+Attack Range	+Min Attack	+Max Attack	+Defense	+Max HP	+Max SP	+Dodge	+Hit Rate	+Critical Rate	+Treasure Drop Rate	+HP Recovery	+SP Recovery	+Movement Speed	+Resource Gathering Rate	+Physical Resist	Aftected By Left Hand Efs	+Energy	+Durability	Gem Sockets	Ship Durability Recovery	Ship Cannon Amount	Ship Member Count	Ship Label	Ship Cargo Capacity	Ship Fuel Consumption	Ship Attack Speed	Ship Movement Speed	Usage Script	Display Effect	Bind Effect	Bind Effect 2	1st Inv Slot Effect	Drop Model Effect	Item Usage Effect	Description	0
00011	Steel Sword	w0211	10100001	01010012	02010012	03010078	0	0	00	1	10	0	0	7	1	1	1	1	1	1	1	8237	2,1,3	25	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	68,90	84,110	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00012	Striking Sword	w0003	10100001	01010003	02010003	03010079	0	0	00	1	10	0	0	6	1	1	1	1	1	1	1	18742	2,1,3	35	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	84,94	104,114	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00013	Two Handed Sword	w0008	10100002	01020001	02020001	03010104	0	0	00	2	10	0	0	7	1	1	1	1	1	1	1	7691	2,1,3	15	1,8,9,10	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	69,109	95,147	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Requires 2 hand to wield due to its heavy weight. Higher damage than single hand weapon	1
00014	Warrior Sword	w0009	10100002	01020002	02020002	03010105	0	0	00	2	10	0	0	7	1	1	1	1	1	1	1	26360	2,1,3	25	1,8,9,10	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	107,143	147,195	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sword use by warrior of valor	1
00015	Criss Sword	w0010	10100002	01020003	02020003	0	0	0	00	2	10	0	0	6	1	1	1	1	1	1	1	83593	2	40	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	161,203	219,277	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Shape of a criss cross	1
00016	Paladin Sword	w0011	10100002	01020004	02020004	0	0	0	00	2	10	0	0	6	1	1	1	1	1	1	1	144700	2	50	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	203,243	275,331	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00017	Bone Sword	w0012	10100002	01020005	02020005	0	0	0	00	2	50	0	0	5	1	1	1	1	1	1	1	227003	2	60	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	243,279	329,381	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Made from dragon bone by a masterful blacksmith	1
00018	Thunder Blade	w0013	10100002	01020006	02020006	0	0	0	00	2	10	0	0	4	1	1	1	1	1	1	1	332529	2	70	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,17	0,17	0,17	0,17	0,17	0,0	0,0	0,0	279,315	379,427	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Legendary weapon with lightning properties	1
00019	Onyx Sword	w0014	10100002	01020007	02020007	0	0	0	00	2	10	0	0	4	1	1	1	1	1	1	1	463145	2	80	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,19	0,19	0,19	0,19	0,19	0,0	0,0	0,0	314,338	426,458	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00020	Rebel Sword	w0208	10100002	01020023	02020023	0	0	0	00	2	10	0	0	6	1	1	1	1	1	1	1	111312	2	45	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	182,224	248,302	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00021	Charging Sword	w0210	10100002	01020026	02020026	0	0	0	00	2	10	0	0	6	1	1	1	1	1	1	1	182752	2	55	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,14	0,14	0,14	0,14	0,14	0,0	0,0	0,0	223,263	303,355	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00022	Crescent Sword	w0004	10100001	01010004	02010004	03010080	0	0	00	1	10	0	0	6	1	1	1	1	1	1	1	34785	1,3	45	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	93,111	115,137	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00023	Delusion Sword	w0005	10100001	01010005	02010005	03010081	0	0	00	1	10	0	0	5	1	1	1	1	1	1	1	57110	1,3	55	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,14	0,14	0,14	0,14	0,14	0,0	0,0	0,0	110,126	136,156	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00024	Chest of Cabal	n1257	10130023	0	0	0	0	0	00	31	0	0	0	0	0	0	0	0	1	1	0	10	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	ItemUse_IDBOX	0	0	0	0	0	0	Pirate King Online event chest. For top 100 players to reach Lv 60 in the shortest time.	1
00025	Short Bow	w0015	10100003	01030001	0	03030001	0	0	00	3	10	0	0	7	1	1	1	1	1	1	1	2031	1,3	10	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	40,74	46,84	0,0	0,0	0,0	0,0	3,5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Short-ranged bow	1
00026	Long Bow	w0016	10100003	01030002	0	03030002	0	0	00	3	10	0	0	7	1	1	1	1	1	1	1	9794	1,3	20	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	74,106	82,118	0,0	0,0	0,0	0,0	7,8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Long-ranged bow	1
00027	Tribal Bow	w0017	10100003	01030003	0	03030003	0	0	00	3	10	0	0	6	1	1	1	1	1	1	1	25897	1,3	30	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	105,133	117,149	0,0	0,0	0,0	0,0	10,12	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Long-ranged bow made from animal parts. Small and easy to carry	1
00028	Meteor Bow	w0018	10100003	01030004	0	03030004	0	0	00	3	10	0	0	6	1	1	1	1	1	1	1	37485	1,3	35	2,11,12	0	0	6	9,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	78,78	80,80	0,0	0,0	0,0	0,0	15,15	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bow that fires arrows like meteors and comets	1
00029	Recca Bow	w0019	10100003	01030005	0	03030005	0	0	00	3	10	0	0	5	1	1	1	1	1	1	1	65859	1,3	44	2,11,12	0	0	6	9,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	95,95	111,111	0,0	0,0	0,0	0,0	17,17	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bow taken from the burning hell	1
00030	Bow of Dawn	w0020	10100003	01030006	0	03030006	0	0	00	3	10	0	0	4	1	1	1	1	1	1	1	104299	1,3	53	2,11,12	0	0	6	9,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	115,115	131,131	0,0	0,0	0,0	0,0	20,20	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	One of the 2 bows made by an ancient hero. Bow of Dawn and Bow of Dusk	1
00031	Bow of Dusk	w0021	10100003	01030007	0	03030007	0	0	00	3	10	0	0	4	1	1	1	1	1	1	1	153788	1,3	62	2,11,12	0	0	6	9,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	132,132	152,152	0,0	0,0	0,0	0,0	22,22	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	One of the 2 bows made by an ancient hero. Bow of Dawn and Bow of Dusk.	1
00032	Hunter Bow	w0263	10100003	01030009	0	03030009	0	0	00	3	10	0	0	7	1	1	1	1	1	1	1	4807	1,3	15	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	57,91	65,99	0,0	0,0	0,0	0,0	5,7	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00033	Battle Bow	w0265	10100003	01030011	0	03030011	0	0	00	3	10	0	0	7	1	1	1	1	1	1	1	16475	1,3	25	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	90,120	100,134	0,0	0,0	0,0	0,0	8,10	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00034	Marksman Bow	w0267	10100003	01030013	0	03030013	0	0	00	3	10	0	0	6	1	1	1	1	1	1	1	37485	1,3	35	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	119,149	133,167	0,0	0,0	0,0	0,0	12,13	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00037	Firegun	w0022	10100004	01040001	0	03040001	0	0	00	4	10	0	0	7	1	1	1	1	1	1	1	32950	1,3	25	2,11,12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-120,-100	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	91,125	163,213	0,0	0,0	0,0	0,0	-5,-5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Very portable firegun	1
00038	Fire-Rifle	w0023	10100004	01040002	0	03040002	0	0	00	4	10	0	0	7	1	1	1	1	1	1	1	74970	1,3	35	2,11,12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-130,-100	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	135,169	203,253	0,0	0,0	0,0	0,0	-7,-7	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Standard firegun used. However, speed of firing is slow	1
00039	Exquisite Pistol	w0024	10100004	01040003	0	03040003	0	0	00	4	10	0	0	6	1	1	1	1	1	1	1	104492	1,3	40	12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-140,-100	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	152,182	228,274	0,0	0,0	0,0	0,0	-8,-8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Intricately designed gun with immense value	1
00040	Exquisite Rifle	w0025	10100004	01040004	0	03040004	0	0	00	4	10	0	0	6	1	1	1	1	1	1	1	180876	1,3	50	12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-150,-100	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	182,212	274,320	0,0	0,0	0,0	0,0	-10,-10	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00041	Laser Gun	w0026	10100004	01040005	0	03040005	0	0	00	4	10	0	0	5	1	1	1	1	1	1	1	283754	1,3	60	12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-160,-100	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	212,238	318,360	0,0	0,0	0,0	0,0	-12,-12	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00042	Venom Gun	w0027	10100004	01040006	0	03040006	0	0	00	4	10	0	0	4	1	1	1	1	1	1	1	415662	1,3	70	12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-170,-170	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,17	0,17	0,17	0,17	0,17	0,0	0,0	0,0	238,264	358,396	0,0	0,0	0,0	0,0	-14,-14	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Origins unknown. Rumored to be able to fire bullets with poison	1
